Entity_Orth	Entity_Label	Parts_of_Speech
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
10 miles	QUANTITY	SP,CD,NNS
Farmington	GPE	NNP
less than two hours	DATE	JJR,IN,CD,NNS
the past year	DATE	DT,JJ,NN
first	ORDINAL	JJ
two hundred or three hundred	CARDINAL	CD,CD,CC,CD,CD
Gallup	ORG	NNP
Federal Aid Highway	ORG	NNP,NNP,NNP
two	CARDINAL	CD
first	ORDINAL	RB
A few days later	DATE	DT,JJ,NNS,RB
San Juan	GPE	NNP,NNP
Shiprock	GPE	NNP
Physician	ORG	NNP
Toadlena	GPE	NNP
Presbyterianmghggch	ORG	NNP
Physician	NORP	NN
Red Rocks	ORG	NNP,NNPS
Shiprock	GPE	NNP
the Medicine Men	ORG	DT,NNP,NNPS
Second	ORDINAL	RB
the Saw Mill	ORG	DT,NNP,NNP
Mesa Boarding School	ORG	NNP,NNP,NNP
200	CARDINAL	CD
100	CARDINAL	CD
100	CARDINAL	CD
Some 500	CARDINAL	DT,CD
San Juan School	ORG	NNP,NNP,NNP
San Juan School	ORG	NNP,NNP,NNP
the New Hospital	ORG	DT,NNP,NNP
several years ago	DATE	JJ,NNS,RB
second	ORDINAL	JJ
Agency	ORG	NNP
The Field Force	ORG	DT,NNP,NNP
two	CARDINAL	CD
Stockman	PERSON	NNP
two	CARDINAL	CD
One	CARDINAL	CD
Shiprock	FAC	NNP
400	CARDINAL	CD
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
the year two cases	DATE	DT,NN,CD,NNS
the Indian Court	ORG	DT,NNP,NNP
the last day	DATE	DT,JJ,NN
two days	DATE	CD,NNS
the third day	DATE	DT,JJ,NN
Agency	ORG	NNP
two	CARDINAL	CD
Indian	NORP	JJ
Agency	ORG	NNP
San Juan Agency	ORG	NNP,NNP,NNP
R R	FAC	NN,NN
Juan School	ORG	NNP,NNP
November	DATE	NNP
December	DATE	NNP
Toadlena School	ORG	NNP,NNP
of months	DATE	SP,IN,NNS
one	CARDINAL	CD
James D. Kennedy	PERSON	NNP,NNP,NNP
September	DATE	NNP
100	CARDINAL	CD
Shiprock	GPE	NNP
one	CARDINAL	CD
Several months	DATE	JJ,NNS
one	CARDINAL	CD
Diphtheria	GPE	NNP
Shiprock	GPE	NNP
San Juan Agency	ORG	NNP,NNP,NNP
one	CARDINAL	CD
five or six	MONEY	CD,CC,CD
Agency	ORG	NNP
San Juan	GPE	NNP,NNP
one	CARDINAL	CD
the past year	DATE	DT,JJ,NN
the preceding year	DATE	DT,JJ,NN
the County Clerk	ORG	DT,NNP,NNP
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
the year	DATE	DT,NN
Fifty miles	QUANTITY	CD,NNS
Clara	GPE	NNP
Barker	PERSON	NNP
Bast	PERSON	NNP
zero	CARDINAL	CD
Missionaries	LOC	NNPS
Tes Nos Pos	FAC	NNP,NNP,NNP
50 miles	QUANTITY	CD,NNS
Shiprock	GPE	NNP
Abney	PERSON	NNP
Red Rocks	ORG	NNP,NNPS
50 miles	QUANTITY	CD,NNS
Physician	ORG	NNP
Thomas Snoddy	PERSON	NNP,NNP
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
Study	FAC	NNP
Daily	FAC	NNP
Sewing	GPE	NNP
Engineering	GPE	NNP
Farming	GPE	NNP
Animal Husbandry	PERSON	NNP,NNP
Shoe Repair	ORG	NNP,NNP
four days	DATE	CD,NNS
the year	DATE	DT,NN
one	CARDINAL	CD
during_the year	DATE	SP,DT,NN
Simcoe School	ORG	NNP,NNP
Yakima	GPE	NNP
Washington	GPE	NNP
San Juan Agency	ORG	NNP,NNP,NNP
first	ORDINAL	JJ
Indians	NORP	NNPS
Toadlena	GPE	NNP
100,000 feet	QUANTITY	CD,NNS
two	CARDINAL	CD
Physicians	NORP	NNPS
Navajo	NORP	NNP
Physician	ORG	NNP
Physicians	NORP	NNPS
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
John D. Kennedy	PERSON	NNP,NNP,NNP
Toadlena School	ORG	NNP,NNP
About January a	DATE	IN,NNP,DT
first	ORDINAL	RB
Indian	NORP	JJ
one	CARDINAL	CD
three	CARDINAL	CD
one	CARDINAL	CD
one	CARDINAL	CD
one	CARDINAL	CD
eleven	CARDINAL	CD
ten	CARDINAL	CD
Indians	NORP	NNPS
one	CARDINAL	CD
one	CARDINAL	CD
two	CARDINAL	CD
Forte Defiance	FAC	NNP,NNP
Arizona	GPE	NNP
the J-ndians	ORG	DT,NNP,HYPH,NNS
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
the Agency Hospital	ORG	DT,NNP,NNP
Tubercular	NORP	JJ
the HOSpital	FAC	DT,NN
VA	ORG	NNP
Trachoma	GPE	NNP
Wigglesworth	PERSON	NNP
several weeks	DATE	JJ,NNS
late spring	DATE	JJ,NN
	ORG	SP
early summer	DATE	JJ,NN
less than 20%	PERCENT	JJR,IN,CD,NN
Navajo	NORP	NNP
20%	PERCENT	CD,NN
Trachoma	GPE	NNP
Trachoma	PERSON	NNP
Indians	NORP	NNPS
Trachoma	GPE	NNP
San Juan	GPE	NNP,NNP
Physician	ORG	NNP
Shiprock	GPE	NNP
Physician	NORP	NNP
Toadlena	GPE	NNP
San Juan Agency	GPE	NNP,NNP,NNP
101 acres	QUANTITY	SP,CD,NNS
25 acres	QUANTITY	CD,NNS
79 acres	QUANTITY	CD,NNS
50 acres	QUANTITY	CD,NNS
Sweet Corn	PERSON	NNP,NNP
two	CARDINAL	CD
San Juan	GPE	NNP,NNP
Mesa	ORG	NNP
two	CARDINAL	CD
the Illoadlena School	ORG	DT,NNP,NNP
three	CARDINAL	CD
OOO	ORG	NNP
half	CARDINAL	NN
San Juan School	ORG	NNP,NNP,NNP
this year	DATE	DT,NN
San Juan School	ORG	NNP,NNP,NNP
Toadlena School	ORG	NNP,NNP
one	CARDINAL	CD
Toadlena	GPE	NNP
three	CARDINAL	CD
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
Spring	LOC	NN
90%	PERCENT	CD,NN
Last season	DATE	JJ,NN
May	DATE	NNP
eighteen	CARDINAL	CD
hundreds	CARDINAL	NNS
23	DATE	CD
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
Toadlena	GPE	NNP
the Chirstian Reformed Church	ORG	DT,NNP,NNP,NNP
L. P. Brink	PERSON	NNP,NNP,NNP
Shiprock	ORG	NNP
Manse	ORG	NNP
Campbell	PERSON	NNP
Shiprock	ORG	NNP
decade	DATE	NN
Church	ORG	NNP
Indian	NORP	JJ
Peyote	ORG	NNP
Indian	NORP	JJ
20 to 50 miles	DATE	CD,IN,CD,NNS
15¢	CARDINAL	CD
1925	DATE	CD
San Juan Agency	GPE	NNP,NNP,NNP
