Entity_Orth,Entity_Label,Parts_of_Speech
1925,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
Farmington,GPE,NNP
less than two hours,DATE,JJR IN CD NNS
the past year,DATE,DT JJ NN
Gallup,ORG,NNP
Federal Aid Highway,ORG,NNP NNP NNP
A few days later,DATE,DT JJ NNS RB
San Juan Agency,ORG,NNP NNP NNP
Shiprock,GPE,NNP
Physician,ORG,NNP
Toadlena,GPE,NNP
Presbyterianmghggch,ORG,NNP
Physician,NORP,NN
Red Rocks,ORG,NNP NNPS
Shiprock,GPE,NNP
the Medicine Men,ORG,DT NNP NNPS
San Juan Agency,ORG,NNP NNP NNP
the Saw Mill,ORG,DT NNP NNP
Mesa Boarding School,ORG,NNP NNP NNP
San Juan School,ORG,NNP NNP NNP
San Juan School,ORG,NNP NNP NNP
the New Hospital,ORG,DT NNP NNP
several years ago,DATE,JJ NNS RB
Agency,ORG,NNP
The Field Force,ORG,DT NNP NNP
Stockman,PERSON,NNP
Shiprock,FAC,NNP
1925,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
the year two cases,DATE,DT NN CD NNS
the Indian Court,ORG,DT NNP NNP
the last day,DATE,DT JJ NN
two days,DATE,CD NNS
the third day,DATE,DT JJ NN
Agency,ORG,NNP
Indian,NORP,JJ
Agency,ORG,NNP
San Juan Agency,ORG,NNP NNP NNP
Juan School,PERSON,NNP NNP
Typhoid,GPE,NNP
November,DATE,NNP
December,DATE,NNP
Toadlena School,ORG,NNP NNP
of months,DATE,SP IN NNS
James D. Kennedy,PERSON,NNP NNP NNP
September,DATE,NNP
Shiprock,GPE,NNP
Several months,DATE,JJ NNS
Shiprock,ORG,NNP
San Juan Agency,ORG,NNP NNP NNP
Agency,ORG,NNP
San Juan,GPE,NNP NNP
the past year,DATE,DT JJ NN
the preceding year,DATE,DT JJ NN
the County Clerk,ORG,DT NNP NNP
1925,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
the year,DATE,DT NN
Clara,GPE,NNP
Barker,PERSON,NNP
Bast,PERSON,NNP
Missionaries,LOC,NNPS
Tes Nos Pos,FAC,NNP NNP NNP
Shiprock,GPE,NNP
Abney,PERSON,NNP
Red Rocks,ORG,NNP NNPS
Physician,ORG,NNP
Thomas Snoddy,PERSON,NNP NNP
1925,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
Study,FAC,NNP
Daily,FAC,NNP
Sewing,GPE,NNP
Engineering,GPE,NNP
Farming,GPE,NNP
Animal Husbandry,PERSON,NNP NNP
Shoe Repair,ORG,NNP NNP
four days,DATE,CD NNS
the year,DATE,DT NN
during_the year,DATE,SP DT NN
Simcoe School,ORG,NNP NNP
Yakima,GPE,NNP
Washington,GPE,NNP
San Juan Agency,ORG,NNP NNP NNP
Indians,NORP,NNPS
Toadlena,GPE,NNP
Physicians,NORP,NNPS
Navajo,NORP,NNP
Physician,ORG,NNP
Physicians,NORP,NNPS
1925,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
John D. Kennedy,PERSON,NNP NNP NNP
Toadlena School,ORG,NNP NNP
About January a,DATE,IN NNP DT
Indian,NORP,JJ
Indians,NORP,NNPS
Forte Defiance,FAC,NNP NNP
Arizona,GPE,NNP
the J-ndians,ORG,DT NNP HYPH NNS
1925,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
the Agency Hospital,ORG,DT NNP NNP
Tubercular,NORP,JJ
the HOSpital,FAC,DT NN
Trachoma,GPE,NNP
Wigglesworth,PERSON,NNP
several weeks,DATE,JJ NNS
late spring,DATE,JJ NN
early summer,DATE,JJ NN
Navajo,NORP,NNP
Trachoma,GPE,NNP
Trachoma,PERSON,NNP
Indians,NORP,NNPS
Trachoma,GPE,NNP
San Juan,GPE,NNP NNP
Physician,ORG,NNP
Shiprock,GPE,NNP
Physician,NORP,NNP
Toadlena,GPE,NNP
San Juan Agency,ORG,NNP NNP NNP
Sweet Corn,PERSON,NNP NNP
