Entity_Orth,Entity_Label,Parts_of_Speech
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
10 miles,QUANTITY,SP CD NNS
Farmington,GPE,NNP
less than two hours,DATE,JJR IN CD NNS
the past year,DATE,DT JJ NN
Gallup,ORG,NNP
Federal Aid Highway,ORG,NNP NNP NNP
A few days later,DATE,DT JJ NNS RB
San Juan,GPE,NNP NNP
Shiprock,GPE,NNP
Physician,ORG,NNP
Presbyterianmghggch,ORG,NNP
Physician,NORP,NN
Red Rocks,ORG,NNP NNPS
Shiprock,GPE,NNP
the Medicine Men,ORG,DT NNP NNPS
the Saw Mill,ORG,DT NNP NNP
Mesa Boarding School,ORG,NNP NNP NNP
San Juan,GPE,NNP NNP
the New Hospital,ORG,DT NNP NNP
several years ago,DATE,JJ NNS RB
Agency,ORG,NNP
The Field Force,ORG,DT NNP NNP
Stockman,PERSON,NNP
Shiprock,FAC,NNP
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
the year two cases,DATE,DT NN CD NNS
the Indian Court,ORG,DT NNP NNP
the last day,DATE,DT JJ NN
two days,DATE,CD NNS
the third day,DATE,DT JJ NN
Agency,ORG,NNP
Indian,NORP,JJ
Agency,ORG,NNP
San Juan Agency,ORG,NNP NNP NNP
Juan School,PERSON,NNP NNP
Typhoid,GPE,NNP
November,DATE,NNP
December,DATE,NNP
the Toadlena School,ORG,DT NNP NNP
James D. Kennedy,PERSON,NNP NNP NNP
September,DATE,NNP
Shiprock,GPE,NNP
Several months,DATE,JJ NNS
Diphtheria,GPE,NNP
Shiprock,GPE,NNP
San Juan Agency,ORG,NNP NNP NNP
five or six,MONEY,CD CC CD
Agency,ORG,NNP
San Juan,GPE,NNP NNP
the past year,DATE,DT JJ NN
the preceding year,DATE,DT JJ NN
the County Clerk,ORG,DT NNP NNP
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
the year,DATE,DT NN
Fifty miles,QUANTITY,CD NNS
Clara,GPE,NNP
Barker,PERSON,NNP
Bast,PERSON,NNP
Missionaries,LOC,NNPS
Tes Nos Pos,FAC,NNP NNP NNP
50 miles,QUANTITY,CD NNS
Shiprock,GPE,NNP
Abney,PERSON,NNP
Red Rocks,ORG,NNP NNPS
50 miles,QUANTITY,CD NNS
Physician,ORG,NNP
Thomas Snoddy,PERSON,NNP NNP
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
Study,FAC,NNP
Daily,FAC,NNP
Sewing,GPE,NNP
Engineering,GPE,NNP
Farming,GPE,NNP
Animal Husbandry,PERSON,NNP NNP
Shoe Repair,ORG,NNP NNP
four days,DATE,CD NNS
the year,DATE,DT NN
during_the year,DATE,SP DT NN
Simcoe School,ORG,NNP NNP
Yakima,GPE,NNP
Washington,GPE,NNP
San Juan Agency,ORG,NNP NNP NNP
Indians,NORP,NNPS
Toadlena,PERSON,NNP
"100,000 feet",QUANTITY,CD NNS
Physicians,NORP,NNPS
Navajo,NORP,NNP
Physician,ORG,NNP
Physicians,NORP,NNPS
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
John D. Kennedy,PERSON,NNP NNP NNP
the Toadlena School,ORG,DT NNP NNP
About January a,DATE,IN NNP DT
Indian,NORP,JJ
Indians,NORP,NNPS
Forte Defiance,FAC,NNP NNP
Arizona,GPE,NNP
the J-ndians,ORG,DT NNP HYPH NNS
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
the Agency Hospital,ORG,DT NNP NNP
Tubercular,NORP,JJ
the HOSpital,FAC,DT NN
Trachoma,GPE,NNP
Wigglesworth,PERSON,NNP
several weeks,DATE,JJ NNS
late spring,DATE,JJ NN
early summer,DATE,JJ NN
Navajo,NORP,NNP
Trachoma,GPE,NNP
Trachoma,PERSON,NNP
Indians,NORP,NNPS
Trachoma,GPE,NNP
San Juan,GPE,NNP NNP
Physician,ORG,NNP
Shiprock,GPE,NNP
Physician,NORP,NNP
Toadlena,ORG,NNP
San Juan Agency,GPE,NNP NNP NNP
101 acres,QUANTITY,SP CD NNS
25 acres,QUANTITY,CD NNS
79 acres,QUANTITY,CD NNS
50 acres,QUANTITY,CD NNS
Sweet Corn,PERSON,NNP NNP
San Juan,GPE,NNP NNP
Mesa,ORG,NNP
the Illoadlena School,ORG,DT NNP NNP
OOO,ORG,NNP
San Juan,GPE,NNP NNP
this year,DATE,DT NN
The Toadlena School,ORG,DT NNP NNP
Toadlena,GPE,NNP
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
Spring,LOC,NN
Last season,DATE,JJ NN
May,DATE,NNP
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
Toadlena,GPE,NNP
the Chirstian Reformed Church,ORG,DT NNP NNP NNP
L. P. Brink,PERSON,NNP NNP NNP
Shiprock,ORG,NNP
Manse,ORG,NNP
Campbell,PERSON,NNP
Shiprock,ORG,NNP
decade,DATE,NN
Church,ORG,NNP
Indian,NORP,JJ
Peyote,ORG,NNP
Indian,NORP,JJ
20 to 50 miles,DATE,CD IN CD NNS
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
San Juan Agency,ORG,NNP NNP NNP
the year,DATE,SP DT NN
The Mesa School,ORG,DT NNP NNP
Shiprock,ORG,NNP
Indian,NORP,JJ
Farmington,GPE,NNP
Dining Room Matron,WORK_OF_ART,SP NN NN NNP
the Mesa School,ORG,DT NNP NNP
Juan School,PERSON,NNP NNP
Indians,NORP,NNPS
Indians,NORP,NNPS
Indians,NORP,NNPS
1925,DATE,CD
Physician,NORP,NNP
Trachoma,GPE,NNP
Hospital,PRODUCT,NNP
Physician,NORP,NNP
Surgeon,GPE,NNP
Indians,NORP,NNPS
Indian Medicine Men,ORG,JJ NNP NNPS
Indians,NORP,NNPS
Physicians,NORP,NNPS
1925,DATE,CD
San Juan,GPE,NNP NNP
Seeps,FAC,NNP
Last spring,DATE,JJ NN
last season,DATE,JJ NN
1924,DATE,CD
Service,LOC,NNP
San Juan Agency,ORG,NNP NNP NNP
The Public School,ORG,DT NNP NNP
Toadlena Boarding School,ORG,NNP NNP NNP
Toadlena Boarding School,ORG,NNP NNP NNP
September 1st 1925,DATE,NNP NN CD
Toadlena Public School,ORG,NNP NNP NNP
~ Sherman Institute,ORG,NNP NNP NNP
Phoenix,GPE,NNP
Santa Fe,GPE,NNP NNP
Ignacio,PERSON,NNP
Theodore,PERSON,NNP
each year,DATE,DT NN
some eight miles,QUANTITY,DT CD NNS
Thirty acres,QUANTITY,CD NNS
The°school,ORG,NNP
1925,DATE,CD
San Juan Agency,GPE,NNP NNP NNP
M. M. Carmichael,PERSON,NNP NNP NNP
Shiprock,GPE,NNP
Indian,NORP,JJ
Indian,NORP,JJ
Indians,NORP,NNPS
Indians,NORP,NNPS
Trachoma,PERSON,NNP
Venereal,GPE,NNP
Phagocite,NORP,NNP
1925,DATE,CD
