Entity_Orth,Entity_Label,Source
Kodak Quality Monitoring Program,ORG,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0001.jpg
Aa Eb Cc,PERSON,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0001.jpg
Bb CC,ORG,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0001.jpg
Santa Fe Indian School,ORG,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
the National Archives of the United States,ORG,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
the Bureau of Indian Affairs,ORG,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
Record Group,ORG,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
the National Archives-Denver Branch,ORG,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
1824,DATE,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
Indian,NORP,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
John C. Calhoun,PERSON,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
"May 11, 1824",DATE,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
9 Stat,DATE,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
the Bureau of Indian Affairs,ORG,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
the War Department,ORG,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
1849,DATE,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
Department of the Interior,ORG,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
1848,DATE,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
Treaty of Guadalupe Hidalgo,LAW,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
Mexico,GPE,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
the United States,GPE,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
the Pueblo Indians,ORG,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
Indians,NORP,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
Spain,GPE,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
Mexico,GPE,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
Indians,NORP,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
1854,DATE,/Users/matt.mcgrattan/Documents/IDA-NARA_files/M-1473_R-13/M1473R13_0004.jpg
