Ben Din,1
U. 8,2
20

years,1
N. M.
Sir:—,2
Burner,1
U. 3,1
Sentiego Jureo,1
Co YOC,1
Elmor G.Crittenden,1
TWV.,1
Indian Schools,1
100 years,1
Cartwright-Davis Co.,2
PoJuque,1
Wholesale & Retail Butcher,1
Q.R.,1
mm W ",1
C. N. Goodman,1
Plato,1
Secaton,1
Pusblo Galistso,1
24th.inst,1
Archuleta,1
Caea,1
Osrpsntsr,1
Western,1
Cliff Dwellings,2
Apache,1
Sarta Clara,1
Voluns 2,1
Thousand One Hundred Twenty,1
Miamooptonbor 12,1
Atsittie Beray,1
Mountain Electric Co.,1
Sept. 3, 1909-Aug,1
14 I.,1
Lu" 4' ',1
Gents Clers,1
Tuba,3
Antonio Win,1
Ramon Slnchez,1
John H. Willum,1
Thomas,2
Signatures,1
Tuba City,1
U.8.Ind1sn Industrial School,1
the Haticxal Museum,1
N. H.
81r:~,1
Sufi,1
Bacon,2
2 190,1
the 12th,2
Hnrpor,1
Aaastaoio Urino,1
Jill do 1:3,1
I. D. Lovell,1
Juno 3d,1
April 16, 1005,1
Julius Soligmnn,1
Joann,1
C. H. Dudrow,1
August 17,1905,1
Na M.,1
Feb. 27m, 1905,1
Plant:,1
E. Le lie,1
Nov bzlcmlO/S/OS.,1
L-5500,1
Hun been,1
JJI. Berger,1
Santa 1e,1
Estenciu,1
Goudert,1
Goodman:-,1
Arizono,1
Arizonl,1
I,_ ..N,1
Nambe,3
Vega,1
Charles H. Searing,1
Pelph Pa Collins,1
Colorado Springs,7
Pueblea,1
May 24th,1
Luella s. Gen-p,1
Pueblee,3
Indian School Scrvloo,1
0' Clarinet,1
Q. 8!.,1
July,24
April 6, 1905,1
April 6, 1906,1
August 8,1905,3
June 10th,1
Broowlin,1
Ohio,6
Indium,6
Cooniti Iuying,1
Indiun,1
Cole,1
Dollop,1
Heeelero Apaohoe,1
Shea,1
Aug. 7' 19m,1
Tuesday,4
Bennie,1
J. Grandall,1
Senta Fe,4
Hush,1
Las Vegas,3
Pueblo Records Created,1
Pedro Pino,1
Curtis,1
Rey Chiao,1
Bugler-,1
diameter,1
the Acting At-,1
Henry Grunt,1
Jun 10,1905,1
W.S.Ind1an Industrial 80W291,1
Amberr File & Index Co.,1
14 5505-2215-4290,1
Hexicane,1
Elle,2
Boon,1
ISZHTTT,1
Azapito Herrera,1
Cooniti,1
111110030,1
3'57—,1
Northern NaVuho Agency,1
Shdnk Slicker,1
Chllocoo,1
Slate,1
Jane- Wikinson,1
June,4
11 ft,1
Eopamola,1
Day Sclmol Buildings,1
Santa F0,Now'lbxioo,1
Thie,2
Indieanill,1
Tesuque Pueblo,1
Espmole,1
Sept. 8th,1
New Msxioo Penitentiary,1
the Supreme court,1
Ark.,1
Aria,4
Aug. 7, 1906,2
Su J. Goodman,1
E'moml Bank,1
R. A. Speckmmn,1
Tunas,1
Julien nebete,1
707 Security Building,1
J. E. Alexander,1
Emerson,1
Grant Rivnnburg,1
Dolen,1
from 1 week,1
BI'UOOQ,1
Hewett:—,1
Santa 3!.,1
John V. Rush,1
1-1/2,1
Davidson's Patent
Shank Lester,1
C. E. Dagenett,1
Bantu Io,2
11' end,1
next May,1
Dcrtoh,1
election day,1
Supply Co.,1
QRV W ',1
711111.611,1
éM- 14—4 M,1
Owen,1
Frank Delgado,1
N. Y.
8131:-,1
Don 913';—,1
June 10.1905,1
Inn 1,1
Ihfléan Influstrial School,1
Pmlam,1
Missouri Pacific Ry,1
Cornelia,1
Dsy School Tsschor,1
October 31,1
G. L. hum,1
New Hexico,1
Bresiua,1
Phoenix,13
1191,1
Luke E. hereon,1
Gardner,1
April 21, 1906,1
Ozfrrd Ave,1
N. M-,1
Jack,25
A31uquerque,1
Pueblo Abiquiu,1
U m h,1
Renee,1
Teen,1
Thomas W.Voetter,5
N. M., July.24,1
Wilt,1
April 23,1
April 21,2
Anthony Whom,1
Santa Fe Iohool,1
Juanita,1
Jeinee A.8neok,1
Hattie,1
L. I. Manson,1
Popcorn,1
Crandoll,1
U.8.Ind1on Industrial School,1
I." aim,1
Anthony Fourchegn,1
N. M",1
Antonio Domingo Pena,2
4(1/,1
Santo Domingo,7
Haskell,1
2979129,1
I. I..,1
U. S.,2
several days,1
JUne 26, 1906,1
Lia Lugdlwr,1
Thcrcfcrc,1
Louis wauni,1
Ben Irmeieco,1
H. P. each,1
Charlie,1
N. Kuhn,1
Albuquorque,1
Willi,1
the month of July,1
30 7392-2100-5292,1
James K. Allan,1
Aug. 18,1
Aug. 17,1
U.S.Ind1un Industrial School,1
C. H. Scaring,1
Bettle .éreek,1
Becentb,1
Abbott,8
u. I.,1
1072 35th St.,1
W.Voetter,1
Ci W Abbot',1
1371,1
Weenington,1
William Fur,1
John C. Calhoun,1
Bert Phillipe,1
HASKGLL,1
Hundred Twenty-Four,1
Fred Hervey,1
July 7th,1
Spain,2
Sulvudor,1
John Flynn,1
Central American,1
Santa h,1
Palito Montoya,1
Imountlng,1
Schoal,1
ten-day,1
U'€.Indian Industrial School,1
Collins L.Pollard,1
William H.thn,1
Albert Danger,1
N. I. Penitenttery,1
«mm MO W,1
Son Jaon,1
Indie,4
Rapeettun,1
India,14
August 22, 1906,1
Ben June,1
Rohrfln,1
Thorororo,1
Lee Imus,1
Rupootmly,1
81a Pueblo,1
Respectfullv,1
Santa R,2
Indian School,17
U.S.1ndian Industrial School,1
the U. S. Ind-,1
Begey,1
Feb. 24th,1
33:11,1
Indiene,5
Firs Gallup m,1
Santu Io,1
the Interior Department,1
Comicsioner Indian Affairs,1
Oct. lsto,1
Clerk,3
Ruben Pony,1
Raindian School,1
NJL.,1
Corn-_---_--- ',1
William,1
Ina P.,1
New Iexieo,1
Haskell Institute,1
C. W. Goodman,2
Oeto 0.1m,1
Joule,1
Super,2
First National Bank,2
Thou H. o'mn,1
Wore,1
the Albuquerque Indien School,1
July 10, 1905,2
Tor-o5,1
Hemispheres------------ U,1
I.

Chum,1
Paul,1
E. I.
Deer Sir:-,1
Clinton,1
I. W,1
Lsttsrs Rscsivsd Iron Day School Tsachsr Clara,1
September,2
17-18,1
T. P. Hutu,1
Chas,6
Pueblo Schools,1
Norte,1
6446-2106-4340,1
1°1cur1e,1
Leo Hersoh,1
Joseph Routledge,1
Dyinon,1
N. M.

Dear'Sir:~,1
I. IL,2
William H.}£a.hn,1
Edward A.Cuiahy C0,1
Pringle,2
69121121,1
Mnille,1
Congress,13
Dunlap Paulo,1
11!.
years,1
Penasco,1
the 29th day of Sept., 1903,1
N. M.
Dear,1
Vie-human,1
Black Row,1
1902-1907,2
April 7th,1
Jemez Pueblo,1
Bornoo,1
B. Clerk,1
Mbssrs,1
this past Winter,1
Espinolt,1
Troy Laundry Mbchinery,1
August 29,1
Clare Indian,1
Jun coniz'rct,1
Crondoll,1
Summit,1
the Jicarilla Subagency,1
No.1,1
Pueblos 1am.-,1
the 2nd 1net,1
49 .IhVAMmlM 14m,1
Albuquerque Wool Scouting,1
Minnie Thomas,1
Bogay,1
Phoonix,1
Chloe,1
the Doportuont of,1
Indian Affairs,3
the Pueblo Indians,1
Francisco NaranJo,1
V. A. lacuna,1
MW"/—-4R,1
Background

Iron,1
Pi'eotone,1
I. I.,8
the Pueblo Indiana,2
C. L. Pollard,6
C. J. Crendell,1
Sayre,1
Chicago,34
the year,4
Detmer Woolen Co.,1
Indien Werehouee,1
Junte,1
Romero,1
Joseph Miles,1
Ferris,3
Amber File,1
Sam Pemahinyc,1
Santa I8,1
Ferriz,1
Sept. 4, 1905,1
the Indian Warehouse,1
Theo,1
August 5,1906,1
1969,1
Dec-bar,1
Lhnmt,1
Montoya,1
Thee,1
Vpfi K,1
Victorianu,1
For School,2
Mark Smeh,1
the 4th quarter 1006,1
Pepagoes,1
Iain,1
Jones,4
Santa Io,4
Dulce,9
N. M.
Dost Sir:-,1
Junnury 8,1906,1
Noun."- e'eoniu,1
Crendsll,1
Bonk,1
May 13th,1
Troy Laundry Compang,1
Arizona,33
March 21, 1905,2
4( f,1
Hrs Sage,1
W. H. Cox,2
Whiqh,1
Santa Is,1
TueSuay,1
January 31,1905,1
Meson,1
Eamon,1
Sia Pueblo,1
Santa II,1
Lewis,1
Albert Hoff,1
July 17, 1906,2
Jan. 12, 1906,1
N. M.
Madamz-,1
I912,1
Wag-m men,1
Joesting & Schilling,1
Alan llater,1
6400-1950-4650,1
Whiteriver,2
